Date,P1,P2,P3,P4,P5,Red
2021-06-11,5,13,15,21,24,6
2021-06-14,4,5,18,30,34,3
2021-06-16,2,10,18,25,26,5
2021-06-18,1,7,20,29,35,4
2021-06-21,12,13,17,20,21,7
2021-06-23,9,10,12,22,26,10
2021-06-25,15,16,29,31,33,5
2021-06-28,3,7,8,9,19,7
2021-06-30,12,15,21,24,33,1
2021-07-02,7,11,12,29,35,2
2021-07-07,22,27,33,34,35,6
2021-07-09,8,15,19,20,34,3
2021-07-12,1,3,5,20,30,5
2021-07-14,5,7,10,14,18,7
2021-07-16,4,9,12,13,20,7
2021-07-19,6,19,21,24,31,4
2021-07-21,6,11,21,22,33,8
2021-07-23,14,18,25,26,34,1
2021-07-26,2,6,13,24,25,3
2021-07-28,2,3,5,26,34,6
2021-07-30,3,12,25,27,29,2
2021-08-02,18,21,22,24,30,1
2021-08-04,5,10,20,31,34,3
2021-08-06,12,13,16,19,20,5
2021-08-09,7,8,17,18,24,3
2021-08-11,11,14,23,25,27,2
2021-08-13,7,13,16,21,35,6
2021-08-16,1,4,10,16,26,6
2021-08-18,9,10,11,23,35,8
2021-08-20,3,6,16,32,33,4
2021-08-23,1,2,16,20,35,4
2021-08-25,8,9,25,28,31,3
2021-08-27,15,20,21,31,33,3
2021-08-30,6,15,23,32,35,1
2021-09-01,6,22,24,33,34,3
2021-09-03,4,6,8,12,27,8
2021-09-06,4,11,15,27,29,2
2021-09-08,9,17,23,24,28,3
2021-09-10,5,11,12,14,18,1
2021-09-13,3,8,16,19,24,4
2021-09-15,2,6,15,30,35,4
2021-09-17,2,12,22,30,32,9
2021-09-20,11,15,23,24,26,3
2021-09-22,3,6,19,23,32,8
2021-09-24,15,24,31,33,34,10
2021-09-27,4,9,12,17,35,10
2021-09-29,4,12,17,28,29,9
2021-10-01,4,5,22,25,28,7
2021-10-04,4,12,14,28,32,3
2021-10-06,10,18,20,25,30,9
2021-10-08,6,8,18,26,32,9
2021-10-11,3,8,10,24,34,5
2021-10-13,3,11,16,18,22,6
2021-10-15,2,8,12,27,32,9
2021-10-18,9,23,32,34,35,3
2021-10-20,13,21,25,28,29,3
2021-10-22,2,4,23,31,32,6
2021-10-25,6,10,15,21,28,6
2021-10-27,4,13,20,21,32,3
2021-10-29,3,8,13,26,30,9
2021-11-01,2,5,9,12,16,9
2021-11-03,8,11,19,28,29,5
2021-11-05,3,12,20,23,25,1
2021-11-08,6,10,11,27,34,7
2021-11-10,1,17,19,21,32,5
2021-11-12,8,15,22,24,34,9
2021-11-15,7,8,13,27,30,4
2021-11-17,10,23,24,30,34,8
2021-11-19,7,8,9,24,35,9
2021-11-22,3,9,11,16,24,6
2021-11-24,3,4,14,20,31,6
2021-11-26,1,2,21,22,31,10
2021-11-29,1,11,24,27,35,6
2021-12-01,3,11,12,30,34,10
2021-12-03,12,20,23,31,32,10
2021-12-06,8,15,16,25,34,2
2021-12-08,1,5,6,10,34,6
2021-12-10,5,26,30,32,34,6
2021-12-13,4,23,24,29,35,8
2021-12-15,6,17,21,30,33,7
2021-12-17,8,10,11,13,22,8
2021-12-20,5,7,19,29,32,5
2021-12-22,4,14,32,33,34,1
2021-12-24,5,6,10,23,32,8
2021-12-27,4,5,7,22,32,1
2021-12-29,2,3,11,15,28,6
2021-12-31,1,16,20,24,28,5
2022-01-03,9,12,20,22,33,1
2022-01-05,13,20,22,25,31,7
2022-01-07,15,20,23,25,34,1
2022-01-10,15,17,22,27,32,2
2022-01-12,9,14,16,23,30,3
2022-01-14,13,22,27,29,33,9
2022-01-17,7,13,17,18,31,10
2022-01-19,3,5,7,27,28,5
2022-01-21,5,7,17,30,34,1
2022-01-24,3,19,26,33,34,5
2022-01-26,11,22,26,29,31,10
2022-01-28,3,24,25,30,32,4
2022-01-31,4,14,24,29,34,6
2022-02-02,2,12,20,26,29,2
2022-02-04,9,13,17,29,31,2
2022-02-07,3,5,15,24,26,3
2022-02-09,18,22,26,27,35,6
2022-02-11,2,8,13,27,35,3
2022-02-14,3,14,19,23,26,3
2022-02-16,11,14,30,31,34,2
2022-02-18,3,6,11,27,34,7
2022-02-21,5,16,18,25,31,9
2022-02-23,13,29,31,33,34,3
2022-02-25,3,12,18,24,32,1
2022-02-28,7,8,14,24,34,5
2022-03-02,20,25,31,32,33,4
2022-03-04,16,18,19,33,35,8
2022-03-07,10,16,24,34,35,7
2022-03-09,3,8,17,21,30,10
2022-03-11,12,18,21,33,35,2
2022-03-14,6,13,20,22,29,5
2022-03-16,1,5,22,26,30,2
2022-03-18,1,14,19,29,30,4
2022-03-21,3,21,28,29,32,8
2022-03-23,1,4,12,29,34,5
2022-03-25,5,7,12,14,34,8
2022-03-28,3,9,23,26,29,3
2022-03-30,19,22,23,30,32,7
2022-04-01,7,15,20,34,35,10
2022-04-04,5,7,11,17,25,10
2022-04-06,10,16,23,28,35,2
2022-04-08,3,11,20,21,26,5
2022-04-11,5,7,23,27,28,8
2022-04-13,4,11,27,30,31,10
2022-04-18,10,14,20,23,28,5
2022-04-20,1,10,14,25,35,6
2022-04-22,4,6,20,29,35,5
2022-04-25,7,13,21,29,34,3
2022-04-27,10,11,27,28,32,7
2022-04-29,6,8,10,17,21,8
2022-05-02,3,7,8,29,31,4
2022-05-04,5,7,20,24,25,10
2022-05-06,1,4,17,24,33,4
2022-05-09,12,15,25,27,35,5
2022-05-11,3,5,16,19,21,2
2022-05-13,2,12,25,30,33,4
2022-05-16,5,10,14,23,27,9
2022-05-18,4,18,19,20,25,9
2022-05-20,15,16,18,21,35,4
2022-05-23,1,8,15,16,31,2
2022-05-25,19,23,29,33,34,3
2022-05-27,3,10,17,20,21,10
2022-05-30,5,8,9,23,29,9
2022-06-01,1,2,4,13,23,6
2022-06-03,3,4,15,18,28,1
2022-06-06,4,22,25,27,33,9
2022-06-08,10,12,19,30,34,6
2022-06-10,2,8,10,16,24,6
2022-06-13,14,17,19,30,33,10
2022-06-15,7,10,17,32,35,3
2022-06-17,15,18,21,23,30,3
2022-06-20,9,12,17,19,28,2
2022-06-22,12,23,24,30,32,4
2022-06-24,6,16,27,31,34,4
2022-06-27,4,5,13,31,33,3
2022-06-29,5,8,15,17,25,1
2022-07-01,1,5,21,23,28,5
2022-07-06,2,14,20,30,33,9
2022-07-08,3,12,24,26,34,10
2022-07-11,21,23,27,29,31,2
2022-07-13,7,10,13,19,32,10
2022-07-15,2,8,9,16,20,7
2022-07-18,8,17,24,30,33,8
2022-07-20,1,4,20,22,26,6
2022-07-22,11,19,23,26,28,6
2022-07-25,7,17,19,22,33,4
2022-07-27,2,12,14,20,23,9
2022-07-29,12,15,24,26,29,7
2022-08-01,1,12,18,19,28,10
2022-08-03,2,3,8,20,25,10
2022-08-05,18,21,23,27,33,7
2022-08-08,2,5,18,19,28,10
2022-08-10,18,19,22,26,33,9
2022-08-12,5,8,9,23,24,9
2022-08-15,3,4,23,29,32,7
2022-08-17,3,4,5,13,28,7
